,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-06 18:00:00-04:00,82.805,82.805,82.805,82.805,1,1,82.805
2021-06-06 21:59:00-04:00,82.7,82.7,82.7,82.7,2,1,165.4
2021-06-07 04:46:00-04:00,82.695,82.695,82.695,82.695,1,1,82.695
2021-06-07 05:48:00-04:00,82.745,82.745,82.745,82.745,5,1,413.725
2021-06-07 06:38:00-04:00,82.745,82.745,82.745,82.745,5,1,413.725
2021-06-07 07:21:00-04:00,82.8,82.8,82.8,82.8,5,1,414.0
2021-06-07 08:43:00-04:00,82.73,82.73,82.73,82.73,1,1,82.73
2021-06-07 10:08:00-04:00,82.785,82.785,82.785,82.785,1,1,82.785
2021-06-07 10:59:00-04:00,82.785,82.785,82.785,82.785,1,1,82.785
2021-06-07 11:02:00-04:00,82.775,82.775,82.775,82.775,1,1,82.775
