,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-26 21:37:00-04:00,80.72,80.72,80.72,80.72,1,1,80.72
2021-10-26 21:41:00-04:00,80.74,80.74,80.74,80.74,1,1,80.74
2021-10-26 22:27:00-04:00,80.69,80.69,80.69,80.69,1,1,80.69
2021-10-27 07:17:00-04:00,80.55,80.55,80.55,80.55,1,1,80.55
2021-10-27 08:48:00-04:00,80.56,80.56,80.56,80.56,1,1,80.56
2021-10-27 10:32:00-04:00,81.245,81.245,81.245,81.245,1,1,81.245
2021-10-27 11:20:00-04:00,81.005,81.005,81.005,81.005,1,1,81.005
2021-10-27 11:48:00-04:00,80.98,80.98,80.98,80.98,1,1,80.98
2021-10-27 12:31:00-04:00,81.135,81.135,81.135,81.135,1,1,81.135
2021-10-27 13:36:00-04:00,81.07,81.07,81.07,81.07,1,1,81.07
2021-10-27 14:55:00-04:00,80.995,80.995,80.995,80.995,1,1,80.995
